North Dakota.............      581      580      414      414      402      404       13       11    3.1    2.6    2.3  -  2.9
South Dakota.............      653      659      452      455      438      440       14       15    3.0    3.3    2.8  -  3.8
"South..........................   94,960   96,155   58,207   59,139   55,364   56,581    2,843    2,558    4.9    4.3    4.2  -  4.4"
"South Atlantic..............   50,409   51,104   30,993   31,600   29,487   30,236    1,505    1,364    4.9    4.3    4.1  -  4.5"
Delaware.................      757      766      474      477      452      455       21       22    4.5    4.6    4.0  -  5.2
District of Columbia.....      563      570      395      401      371      377       24       24    6.1    6.1    5.5  -  6.6
"Florida..................   16,646   16,951    9,846   10,100    9,373    9,681      473      419    4.8    4.2    3.9  -  4.5"
"Georgia..................    7,893    8,007    4,927    5,061    4,663    4,822      264      240    5.4    4.7    4.3  -  5.2"
"Maryland.................    4,735    4,764    3,179    3,219    3,038    3,086      141      133    4.4    4.1    3.7  -  4.6"
"North Carolina...........    7,910    8,030    4,855    4,942    4,608    4,717      247      225    5.1    4.6    4.1  -  5.0"
"South Carolina...........    3,886    3,948    2,294    2,313    2,180    2,214      114       99    5.0    4.3    3.8  -  4.8"
"Virginia.................    6,548    6,606    4,243    4,308    4,069    4,146      174      162    4.1    3.8    3.4  -  4.2"
"West Virginia............    1,471    1,462      782      779      734      738       48       41    6.1    5.2    4.7  -  5.8"
"East South Central..........   14,767   14,873    8,599    8,700    8,146    8,320      453      379    5.3    4.4    4.1  -  4.6"
"Alabama..................    3,812    3,830    2,173    2,168    2,046    2,073      128       95    5.9    4.4    3.9  -  4.9"
"Kentucky.................    3,457    3,476    2,012    2,052    1,909    1,952      103      100    5.1    4.9    4.3  -  5.5"
"Mississippi..............    2,283    2,289    1,279    1,280    1,204    1,215       74       65    5.8    5.1    4.5  -  5.6"
"Tennessee................    5,215    5,278    3,135    3,199    2,987    3,080      148      119    4.7    3.7    3.3  -  4.1"
"West South Central..........   29,783   30,179   18,615   18,839   17,730   18,025      885      815    4.8    4.3    4.1  -  4.5"
"Arkansas.................    2,310    2,325    1,343    1,354    1,290    1,304       53       50    3.9    3.7    3.2  -  4.1"
"Louisiana................    3,590    3,595    2,126    2,112    1,997    2,004      129      108    6.0    5.1    4.6  -  5.6"
"Oklahoma.................    2,985    2,997    1,829    1,834    1,741    1,756       88       79    4.8    4.3    3.8  -  4.8"
"Texas....................   20,898   21,261   13,317   13,538   12,702   12,961      615      578    4.6    4.3    4.0  -  4.5"
"West...........................   59,674   60,443   37,450   38,100   35,539   36,387    1,911    1,712    5.1    4.5    4.3  -  4.6"
"Mountain....................   18,320   18,653   11,625   11,911   11,093   11,423      531      487    4.6    4.1    3.9  -  4.3"
"Arizona..................    5,357    5,462    3,226    3,313    3,053    3,151      173      161    5.4    4.9    4.4  -  5.4"
"Colorado.................    4,315    4,392    2,893    2,992    2,799    2,907       94       85    3.3    2.8    2.4  -  3.2"
"Idaho....................    1,271    1,302      813      833      782      807       31       26    3.8    3.2    2.8  -  3.6"
Montana..................      821      832      522      525      500      504       22       21    4.1    4.0    3.6  -  4.5
"Nevada...................    2,298    2,349    1,430    1,463    1,348    1,389       82       74    5.7    5.0    4.4  -  5.6"
"New Mexico...............    1,612    1,620      929      930      867      872       62       57    6.7    6.2    5.6  -  6.7"
"Utah.....................    2,195    2,248    1,511    1,561    1,459    1,510       52       51    3.4    3.2    2.9  -  3.6"
Wyoming..................      451      448      301      293      285      281       16       12    5.3    4.2    3.7  -  4.7
"Pacific.....................   41,354   41,790   25,826   26,189   24,446   24,964    1,379    1,225    5.3    4.7    4.5  -  4.9"
Alaska...................      546      547      363      363      338      337       25       26    6.9    7.2    6.5  -  7.9
"California...............   30,720   30,990   19,094   19,312   18,049   18,393    1,045      919    5.5    4.8    4.5  -  5.0"
"Hawaii...................    1,094    1,096      684      685      664      669       20       16    2.9    2.4    2.0  -  2.7"
"Oregon...................    3,274    3,329    2,049    2,104    1,951    2,017       98       87    4.8    4.1    3.6  -  4.6"
"Washington...............    5,719    5,829    3,635    3,725    3,444    3,547      191      177    5.3    4.8    4.3  -  5.2"
"Puerto Rico....................    2,786    2,751    1,118    1,103      986      983      132      119   11.8   10.8         NA"
